,Cluster,Count,Percentage
0,1.0,102,0.3591549295774648
1,2.0,41,0.1443661971830986
2,3.0,26,0.09154929577464789
3,4.0,19,0.06690140845070422
4,5.0,13,0.045774647887323945
5,6.0,14,0.04929577464788732
6,7.0,13,0.045774647887323945
7,8.0,14,0.04929577464788732
8,9.0,13,0.045774647887323945
9,10.0,6,0.02112676056338028
10,11.0,6,0.02112676056338028
11,12.0,6,0.02112676056338028
12,13.0,4,0.014084507042253521
13,14.0,3,0.01056338028169014
14,15.0,2,0.007042253521126761
15,16.0,2,0.007042253521126761
